"Component","Tool","Image","CVE","Severity","Package","Affected Version","Fix Version","Summary"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4341","HIGH","stdlib","go1.23.7","1.24.12,1.25.6","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4341","HIGH","stdlib","go1.23.7","1.24.12,1.25.6","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/amtool"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4337","CRITICAL","stdlib","go1.23.7","1.24.13,1.25.7,1.26.0-rc.3","A critical vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4337","CRITICAL","stdlib","go1.23.7","1.24.13,1.25.7,1.26.0-rc.3","A critical vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/amtool"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2025-3563","CRITICAL","stdlib","go1.23.7","1.23.8,1.24.2","A critical vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/amtool"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2025-3563","CRITICAL","stdlib","go1.23.7","1.23.8,1.24.2","A critical vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4977","HIGH","stdlib","go1.23.7","1.25.10,1.26.3","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4977","HIGH","stdlib","go1.23.7","1.25.10,1.26.3","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/amtool"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4986","HIGH","stdlib","go1.23.7","1.25.10,1.26.3","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/amtool"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4986","HIGH","stdlib","go1.23.7","1.25.10,1.26.3","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4918","HIGH","golang.org/x/net","v0.33.0","0.53.0","A high vulnerability in go-module package: golang.org/x/net, version v0.33.0 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4918","HIGH","golang.org/x/net","v0.33.0","0.53.0","A high vulnerability in go-module package: golang.org/x/net, version v0.33.0 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/amtool"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4918","HIGH","stdlib","go1.23.7","1.25.10,1.26.3","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/amtool"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4918","HIGH","stdlib","go1.23.7","1.25.10,1.26.3","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4601","HIGH","stdlib","go1.23.7","1.25.8,1.26.1","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/amtool"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4601","HIGH","stdlib","go1.23.7","1.25.8,1.26.1","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-5026","HIGH","golang.org/x/net","v0.33.0","0.55.0","A high vulnerability in go-module package: golang.org/x/net, version v0.33.0 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-5026","HIGH","golang.org/x/net","v0.33.0","0.55.0","A high vulnerability in go-module package: golang.org/x/net, version v0.33.0 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/amtool"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-5026","HIGH","stdlib","go1.23.7","1.25.13,1.26.6,1.27.0-rc.3","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/amtool"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-5026","HIGH","stdlib","go1.23.7","1.25.13,1.26.6,1.27.0-rc.3","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4870","HIGH","stdlib","go1.23.7","1.25.9,1.26.2","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/amtool"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4870","HIGH","stdlib","go1.23.7","1.25.9,1.26.2","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2025-4009","HIGH","stdlib","go1.23.7","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2025-4009","HIGH","stdlib","go1.23.7","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/amtool"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4947","HIGH","stdlib","go1.23.7","1.25.9,1.26.2","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4947","HIGH","stdlib","go1.23.7","1.25.9,1.26.2","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/amtool"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2025-4006","HIGH","stdlib","go1.23.7","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2025-4006","HIGH","stdlib","go1.23.7","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/amtool"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-5037","HIGH","stdlib","go1.23.7","1.25.11,1.26.4","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/amtool"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-5037","HIGH","stdlib","go1.23.7","1.25.11,1.26.4","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4971","HIGH","stdlib","go1.23.7","1.25.10,1.26.3","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-4971","HIGH","stdlib","go1.23.7","1.25.10,1.26.3","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/amtool"
"qubership-monitoring-operator","grype","docker.io/prom/alertmanager:v0.28.1","GO-2026-5972","HIGH","stdlib","go1.23.7","1.25.13,1.26.6,1.27.0-rc.3","A high vulnerability in go-module package: stdlib, version go1.23.7 was found in image docker.io/prom/alertmanager:v0.28.1 at: /bin/alertmanager"
